Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Cybercrime,combat cybercrime (chống lại tội phạm mạng) / rise in cybercrime (sự gia tăng tội phạm mạng),/'saıbər kraım/,Tội phạm mạng,Computer crime,,"Cybercrime has become a major global threat. (Tội phạm mạng đã trở thành một mối đe dọa lớn toàn cầu.)"
Cybernetics,field of cybernetics (lĩnh vực cơ học điều khiển) / applied cybernetics (cơ học điều khiển ứng dụng),[saıbər'netıks],Cơ học điều khiển,Control theory,,"Cybernetics studies communication in animals and machines. (Cơ học điều khiển nghiên cứu sự giao tiếp ở động vật và máy móc.)"
Cybersecurity,enhance cybersecurity (tăng cường an ninh mạng) / strict cybersecurity measures (biện pháp an ninh mạng nghiêm ngặt),/'saıbər, sikjuriti/,An ninh mạng,Computer security,,"Banks invest heavily in cybersecurity. (Các ngân hàng đầu tư mạnh vào an ninh mạng.)"
Data analysis,perform data analysis (thực hiện phân tích dữ liệu) / rigorous data analysis (phân tích dữ liệu kỹ lưỡng),/'deitə ə'næləsıs/,Phân tích dữ liệu,Data examination,,"Data analysis helps businesses make better decisions. (Phân tích dữ liệu giúp doanh nghiệp đưa ra quyết định tốt hơn.)"
Data breach,massive data breach (vụ rò rỉ dữ liệu lớn) / suffer a data breach (bị rò rỉ dữ liệu),['deitə bri:t],Xâm nhập dữ liệu,Data leak,,"The company suffered a massive data breach. (Công ty đã phải chịu một vụ rò rỉ dữ liệu lớn.)"
Data encryption,use data encryption (sử dụng mã hóa dữ liệu) / strong data encryption (mã hóa dữ liệu mạnh),['deıtə ın 'krıpfən],Mã hóa dữ liệu,Data encoding,Data decryption,"Data encryption protects sensitive information from hackers. (Mã hóa dữ liệu bảo vệ thông tin nhạy cảm khỏi tin tặc.)"
Data management,effective data management (quản lý dữ liệu hiệu quả) / data management system (hệ thống quản lý dữ liệu),['deitə 'mænıdzmənt],Quản lý dữ liệu,Information management,,"Effective data management is crucial for large organizations. (Quản lý dữ liệu hiệu quả là điều cốt yếu đối với các tổ chức lớn.)"
Data privacy,protect data privacy (bảo vệ quyền riêng tư dữ liệu) / data privacy laws (luật bảo mật dữ liệu),/'deitə 'praıvəsi/,Sự riêng tư dữ liệu,Information privacy,Data exposure,"Users are increasingly concerned about data privacy. (Người dùng ngày càng quan tâm đến sự riêng tư dữ liệu.)"
Data recovery,data recovery software (phần mềm khôi phục dữ liệu) / attempt data recovery (nỗ lực khôi phục dữ liệu),['deitə rı kıvəri],Khôi phục dữ liệu,Data retrieval,Data loss,"Data recovery tools can save accidentally deleted files. (Các công cụ khôi phục dữ liệu có thể cứu các tệp bị xóa nhầm.)"
Data storage,data storage capacity (dung lượng lưu trữ dữ liệu) / external data storage (lưu trữ dữ liệu bên ngoài),/'deitə 'stɔ:rıd3/,Lưu trữ dữ liệu,Data retention,,"Cloud providers offer cheap data storage solutions. (Các nhà cung cấp đám mây cung cấp giải pháp lưu trữ dữ liệu giá rẻ.)"
Data transfer,high-speed data transfer (truyền dữ liệu tốc độ cao) / seamless data transfer (truyền dữ liệu liền mạch),['dertǝ 'trænsfər],Truyền dữ liệu,Data transmission,,"High-speed cables allow faster data transfer. (Cáp tốc độ cao cho phép truyền dữ liệu nhanh hơn.)"
Digital advertising,digital advertising campaign (chiến dịch quảng cáo số) / invest in digital advertising (đầu tư vào quảng cáo số),['dıdzıtl ædvər taızıŋ],Quảng cáo số,Online advertising,Traditional advertising,"Digital advertising reaches a global audience. (Quảng cáo số tiếp cận đối tượng khán giả toàn cầu.)"
Digital divide,bridge the digital divide (thu hẹp khoảng cách kỹ thuật số) / narrow the digital divide (thu hẹp khoảng cách số),/'dıdzıtl dı vaid/,Khoảng cách kỹ thuật số,Technology gap,,"The government aims to bridge the digital divide. (Chính phủ nhằm mục đích thu hẹp khoảng cách kỹ thuật số.)"
Digital economy,boost the digital economy (thúc đẩy kinh tế số) / thrive in the digital economy (phát triển mạnh trong nền kinh tế số),/'dızıtəl i'ka:nəmi/,Kinh tế số,Internet economy,Traditional economy,"The digital economy is growing rapidly. (Nền kinh tế số đang phát triển nhanh chóng.)"
Digital footprint,leave a digital footprint (để lại dấu vết kỹ thuật số) / manage your digital footprint (quản lý dấu vết số),['dıdzıtl 'fut print],Dấu vết số,Online shadow,,"Be careful about your digital footprint on social media. (Hãy cẩn thận về dấu vết kỹ thuật số của bạn trên mạng xã hội.)"
Digital marketing,digital marketing strategy (chiến lược tiếp thị số) / digital marketing tools (công cụ tiếp thị số),['dıdzıtl 'ma:rkıtın],Tiếp thị số,Online marketing,,"Digital marketing includes SEO and email campaigns. (Tiếp thị số bao gồm SEO và các chiến dịch email.)"
Digital transformation,undergo digital transformation (trải qua chuyển đổi số) / accelerate digital transformation (đẩy nhanh chuyển đổi số),/'dızıtəl trænsfər meıfən/,Chuyển đổi số,Digitization,,"The pandemic accelerated the digital transformation of businesses. (Đại dịch đã thúc đẩy nhanh quá trình chuyển đổi số của các doanh nghiệp.)"
Digitalization,digitalization of services (số hóa dịch vụ) / widespread digitalization (số hóa rộng rãi),/dıdzıtəlaı zeıfən/,Sự số hóa,Computerization,,"The digitalization of health records saves time. (Việc số hóa hồ sơ y tế giúp tiết kiệm thời gian.)"
Drones,commercial drones (flycam thương mại) / drone delivery (giao hàng bằng máy bay không người lái),/drounz/,Máy bay không người lái,UAV,,"Drones are used for aerial photography. (Máy bay không người lái được sử dụng để chụp ảnh trên không.)"
E-commerce,e-commerce platform (nền tảng thương mại điện tử) / boom in e-commerce (sự bùng nổ thương mại điện tử),/'i: ka:m3:rs/,Thương mại điện tử,Online trade,Brick-and-mortar,"E-commerce makes shopping very convenient. (Thương mại điện tử làm cho việc mua sắm rất thuận tiện.)"
Energy efficiency,improve energy efficiency (cải thiện hiệu suất năng lượng) / promote energy efficiency (thúc đẩy hiệu suất năng lượng),/'enərdzi ı fısənsi/,Hiệu suất năng lượng,Power efficiency,Energy waste,"LED bulbs improve energy efficiency in homes. (Bóng đèn LED cải thiện hiệu suất năng lượng trong nhà.)"
Genetic engineering,genetic engineering techniques (kỹ thuật di truyền) / advances in genetic engineering (tiến bộ trong công nghệ di truyền),/dzı'netik endzı nırın/,Kỹ thuật di truyền,Genetic modification,,"Genetic engineering can create pest-resistant crops. (Kỹ thuật di truyền có thể tạo ra cây trồng kháng sâu bệnh.)"
GPS navigation,rely on GPS navigation (dựa vào định vị GPS) / accurate GPS navigation (định vị GPS chính xác),/dzi:pi: es nævı gerſən/,Định vị GPS,Satellite navigation,,"I rely on GPS navigation when driving in a new city. (Tôi dựa vào định vị GPS khi lái xe ở một thành phố mới.)"
Hacking,hacking attack (cuộc tấn công bằng cách hack) / prevent hacking (ngăn chặn đánh cắp thông tin),/'hækın/,Đánh cắp thông tin,Cyber attack,,"Hacking into private accounts is illegal. (Đánh cắp thông tin vào các tài khoản cá nhân là bất hợp pháp.)"
High-speed internet,access to high-speed internet (truy cập internet tốc độ cao) / require high-speed internet (yêu cầu internet tốc độ cao),/haı spi:d 'internet/,Internet tốc độ cao,Broadband internet,Dial-up connection,"High-speed internet is necessary for video calls. (Internet tốc độ cao là cần thiết cho các cuộc gọi video.)"
Information security,information security policy (chính sách an ninh thông tin) / ensure information security (đảm bảo an ninh thông tin),/ Infər meışən sı'kjurəti/,An ninh thông tin,Data protection,,"Information security prevents unauthorized access to data. (An ninh thông tin ngăn chặn việc truy cập trái phép vào dữ liệu.)"
Information sharing,facilitate information sharing (tạo điều kiện chia sẻ thông tin) / rapid information sharing (chia sẻ thông tin nhanh chóng),[ Infər meışən 'ferın],Chia sẻ thông tin,Data sharing,,"Social media platforms facilitate easy information sharing. (Mạng xã hội tạo điều kiện chia sẻ thông tin dễ dàng.)"
Information technology (IT),IT industry (ngành công nghệ thông tin) / IT professional (chuyên gia CNTT),/ infər meışən tek na:lǝdzi/,Công nghệ thông tin,Computing,,"He works in the Information technology sector. (Anh ấy làm việc trong lĩnh vực Công nghệ thông tin.)"
Innovation,foster innovation (thúc đẩy sự đổi mới) / technological innovation (sự đổi mới công nghệ),/ ınə versən/,"Sự đổi mới, sự sáng tạo",Invention,Stagnation,"Innovation is the key to a company's success. (Sự đổi mới là chìa khóa cho thành công của một công ty.)"
Innovation hub,global innovation hub (trung tâm đổi mới toàn cầu) / tech innovation hub (trung tâm đổi mới công nghệ),/ ınə versən hab/,Trung tâm đổi mới,Tech center,,"Silicon Valley is a famous innovation hub. (Thung lũng Silicon là một trung tâm đổi mới nổi tiếng.)"
Internet access,widespread internet access (tiếp cận internet rộng rãi) / provide internet access (cung cấp truy cập internet),/'Internet 'ækses/,Truy cập internet,Web connectivity,Offline,"Free internet access is provided in the library. (Truy cập internet miễn phí được cung cấp trong thư viện.)"
Internet addiction,suffer from internet addiction (bị mắc chứng nghiện internet) / combat internet addiction (chống lại chứng nghiện internet),['Internet ə'dıkfən],Nghiện Internet,Cyber addiction,,"Internet addiction can negatively affect mental health. (Nghiện Internet có thể ảnh hưởng tiêu cực đến sức khỏe tâm thần.)"
Internet browsing,safe internet browsing (lướt web an toàn) / track internet browsing (theo dõi việc lướt web),['Internet 'brauzin],Lướt web,Web surfing,,"I spend hours on internet browsing every night. (Tôi dành hàng giờ để lướt web mỗi đêm.)"
Internet censorship,strict internet censorship (kiểm duyệt internet nghiêm ngặt) / bypass internet censorship (vượt qua kiểm duyệt internet),/'Internet 'sensərfıp/,Kiểm duyệt Internet,Web filtering,Freedom of information,"Some countries impose strict internet censorship. (Một số quốc gia áp đặt kiểm duyệt internet nghiêm ngặt.)"
Internet connectivity,reliable internet connectivity (kết nối internet đáng tin cậy) / poor internet connectivity (kết nối internet kém),['internet kə, nektı vıti],Kết nối Internet,Network connection,Offline status,"The rural area suffers from poor internet connectivity. (Khu vực nông thôn bị tình trạng kết nối internet kém.)"
Internet of Things (IoT),IoT devices (các thiết bị IoT) / growth of the IoT (sự phát triển của vạn vật kết nối),/'Internet ǝv 'θιηζ/,Internet vạn vật,Connected devices,,"The Internet of Things connects smart appliances in your home. (Internet vạn vật kết nối các thiết bị thông minh trong nhà bạn.)"
Internet protocols,standard internet protocols (các giao thức internet tiêu chuẩn) / update internet protocols (cập nhật giao thức internet),['Internet 'proutəkplz],Giao thức Internet,Web standards,,"IP addresses are based on internet protocols. (Địa chỉ IP dựa trên các giao thức internet.)"
Internet security,internet security measures (biện pháp an ninh mạng) / improve internet security (cải thiện an ninh internet),/'Internet sı' kjurəti/,An ninh Internet,Cybersecurity,,"Use strong passwords for better internet security. (Sử dụng mật khẩu mạnh để có an ninh internet tốt hơn.)"
Internet service provider (ISP),local ISP (nhà cung cấp mạng địa phương) / reliable ISP (nhà cung cấp mạng uy tín),/'Internet 's3:rVIS prə vaıdər/,Nhà cung cấp dịch vụ internet,Telecom provider,,"You need to pay your ISP to stay connected. (Bạn cần trả tiền cho nhà cung cấp dịch vụ internet để duy trì kết nối.)"
Internet speed,fast internet speed (tốc độ internet nhanh) / check internet speed (kiểm tra tốc độ internet),['Internet spi:d],Tốc độ Internet,Bandwidth,,"You need good internet speed to stream 4K videos. (Bạn cần tốc độ internet tốt để phát video 4K.)"
IT consulting,IT consulting firm (công ty tư vấn CNTT) / provide IT consulting (cung cấp dịch vụ tư vấn CNTT),[, aı'ti kən'sıltın],Tư vấn công nghệ thông tin,Tech advising,,"Our company hired an IT consulting firm to upgrade servers. (Công ty chúng tôi đã thuê một công ty tư vấn CNTT để nâng cấp máy chủ.)"
IT infrastructure,robust IT infrastructure (hạ tầng CNTT vững chắc) / upgrade IT infrastructure (nâng cấp cơ sở hạ tầng CNTT),[ai'ti infra straktfər],Cơ sở hạ tầng công nghệ thông tin,Tech foundations,,"A robust IT infrastructure is vital for modern banking. (Một cơ sở hạ tầng CNTT vững chắc là rất quan trọng đối với ngân hàng hiện đại.)"
IT support,technical IT support (hỗ trợ kỹ thuật CNTT) / contact IT support (liên hệ hỗ trợ CNTT),[ar'ti sə'pɔ:rt],Hỗ trợ công nghệ thông tin,Tech support,,"Call IT support if your computer crashes. (Hãy gọi hỗ trợ CNTT nếu máy tính của bạn bị hỏng.)"
Machine learning,machine learning algorithm (thuật toán học máy) / apply machine learning (áp dụng học máy),/mə'fi:n ' :rnın/,Học máy,Automated learning,,"Machine learning enables computers to learn from data. (Học máy cho phép máy tính học từ dữ liệu.)"
Mobile applications,download mobile applications (tải xuống ứng dụng di động) / develop mobile applications (phát triển ứng dụng di động),/'moubǝl æplı kerſənz/,Ứng dụng di động,Smartphone apps,,"There are mobile applications for almost everything today. (Có các ứng dụng di động cho hầu hết mọi thứ hiện nay.)"
Mobile network,5G mobile network (mạng di động 5G) / reliable mobile network (mạng di động đáng tin cậy),['moubel 'netw3:rk],Mạng di động,Cellular network,,"The 5G mobile network offers blazing fast speeds. (Mạng di động 5G cung cấp tốc độ nhanh chóng mặt.)"
Mobile technology,advances in mobile technology (tiến bộ công nghệ di động) / impact of mobile technology (tác động của công nghệ di động),/'moubəl tek nalədzi/,Công nghệ di động,Portable tech,,"Mobile technology has transformed how we communicate. (Công nghệ di động đã thay đổi cách chúng ta giao tiếp.)"
Nanotechnology,applications of nanotechnology (ứng dụng của công nghệ nano) / field of nanotechnology (lĩnh vực công nghệ nano),/ nænoutek na:lədzi/,Công nghệ nano,Micro-technology,,"Nanotechnology is being used to develop new medicines. (Công nghệ nano đang được sử dụng để phát triển các loại thuốc mới.)"
Network administration,network administration tools (công cụ quản trị mạng) / proficient in network administration (thành thạo quản trị mạng),['netw3:rk ǝd, mınıs treıfən],Quản trị mạng,System management,,"Network administration ensures all office computers are connected. (Quản trị mạng đảm bảo tất cả máy tính văn phòng đều được kết nối.)"
Network congestion,experience network congestion (gặp tình trạng nghẽn mạng) / reduce network congestion (giảm tắc nghẽn mạng),['netw3:rk kən dzestfən],Tắc nghẽn mạng,Bandwidth bottleneck,Network fluidity,"Network congestion can slow down your download speed. (Tắc nghẽn mạng có thể làm chậm tốc độ tải xuống của bạn.)"
Network infrastructure,upgrade network infrastructure (nâng cấp hạ tầng mạng) / secure network infrastructure (bảo mật cơ sở hạ tầng mạng),/'net wark infrə straktfər/,Cơ sở hạ tầng mạng,Network hardware,,"Upgrading network infrastructure requires a huge budget. (Nâng cấp cơ sở hạ tầng mạng đòi hỏi một ngân sách khổng lồ.)"
Network monitoring,continuous network monitoring (giám sát mạng liên tục) / network monitoring software (phần mềm giám sát mạng),['netw3:rk 'monıtəriŋ],Giám sát mạng,System surveillance,,"Network monitoring helps detect cyber attacks early. (Giám sát mạng giúp phát hiện sớm các cuộc tấn công mạng.)"
Network reliability,ensure network reliability (đảm bảo độ tin cậy của mạng) / high network reliability (độ tin cậy mạng cao),['netw3:rk rı, laıə bılıti],Đáng tin cậy mạng lưới,Network stability,Network failure,"Businesses demand high network reliability to avoid downtime. (Các doanh nghiệp yêu cầu độ tin cậy mạng cao để tránh thời gian ngừng hoạt động.)"
Network security,breach network security (phá vỡ an ninh mạng) / enhance network security (tăng cường an ninh mạng),['netw3:rk sı'kjurəti],An ninh mạng,Cyber defense,,"A firewall is a basic part of network security. (Tường lửa là một phần cơ bản của an ninh mạng.)"
Online banking,convenient online banking (ngân hàng trực tuyến tiện lợi) / use online banking (sử dụng ngân hàng trực tuyến),['on, laın 'bænkin],Ngân hàng trực tuyến,Digital banking,In-person banking,"Online banking makes transferring money very easy. (Ngân hàng trực tuyến làm cho việc chuyển tiền rất dễ dàng.)"
Online collaboration,online collaboration tools (công cụ cộng tác trực tuyến) / facilitate online collaboration (tạo điều kiện cộng tác trực tuyến),['on, laın kə læbə'reışən],Cộng tác trực tuyến,Virtual teamwork,,"Online collaboration tools like Slack improve productivity. (Các công cụ cộng tác trực tuyến như Slack cải thiện năng suất.)"
Online education,access online education (tiếp cận giáo dục trực tuyến) / rise in online education (sự gia tăng của giáo dục trực tuyến),/' :n laın edzu kerſən/,Giáo dục trực tuyến,E-learning,Traditional schooling,"Online education became the norm during the lockdown. (Giáo dục trực tuyến đã trở thành tiêu chuẩn trong thời gian phong tỏa.)"
Online gaming,online gaming community (cộng đồng game trực tuyến) / participate in online gaming (tham gia chơi game trực tuyến),/'an laın 'geımın/,Trò chơi trực tuyến,E-sports,,"Online gaming connects players from around the world. (Trò chơi trực tuyến kết nối người chơi từ khắp nơi trên thế giới.)"
Online privacy,maintain online privacy (duy trì quyền riêng tư trực tuyến) / protect online privacy (bảo vệ quyền riêng tư trực tuyến),['on laın 'praıvəsi],Quyền riêng tư trực tuyến,Digital privacy,,"Protecting your online privacy is more important than ever. (Bảo vệ quyền riêng tư trực tuyến của bạn quan trọng hơn bao giờ hết.)"
Online shopping,boom in online shopping (bùng nổ mua sắm trực tuyến) / prefer online shopping (thích mua sắm trực tuyến hơn),/'ain lain 'Ja:pin/,Mua sắm trực tuyến,E-commerce,In-store shopping,"Online shopping has reduced the foot traffic in malls. (Mua sắm trực tuyến đã làm giảm lượng người đến các trung tâm thương mại.)"
Privacy concerns,raise privacy concerns (dấy lên lo ngại về quyền riêng tư) / address privacy concerns (giải quyết lo ngại về quyền riêng tư),/'praıvəsi kən's3:rnz/,Quan ngại về sự riêng tư,Security worries,,"Smart speakers raise many privacy concerns. (Loa thông minh dấy lên nhiều quan ngại về sự riêng tư.)"
Privacy settings,adjust privacy settings (điều chỉnh thiết lập quyền riêng tư) / strict privacy settings (cài đặt quyền riêng tư nghiêm ngặt),['praıvəsi 'setinz],Thiết lập quyền riêng tư,Security controls,,"You should regularly check your Facebook privacy settings. (Bạn nên thường xuyên kiểm tra các thiết lập quyền riêng tư trên Facebook của mình.)"
Programming,computer programming (lập trình máy tính) / proficient in programming (thành thạo lập trình),['prou græmin],Lập trình,Coding,,"He is taking a course in computer programming. (Anh ấy đang tham gia một khóa học về lập trình máy tính.)"
Remote access,gain remote access (có được quyền truy cập từ xa) / secure remote access (truy cập từ xa an toàn),[ri'mout 'ækses],Truy cập từ xa,Distant connection,Local access,"Remote access allows me to fix your PC from my house. (Truy cập từ xa cho phép tôi sửa máy tính của bạn từ nhà tôi.)"
Renewable energy,invest in renewable energy (đầu tư vào năng lượng tái tạo) / clean renewable energy (năng lượng tái tạo sạch),/rı'nuzəbl 'enǝrdzi/,Năng lượng tái tạo,Green energy,Fossil fuels,"Solar panels are a great source of renewable energy. (Tấm pin mặt trời là một nguồn năng lượng tái tạo tuyệt vời.)"
Renewable resources,utilize renewable resources (sử dụng tài nguyên tái tạo) / transition to renewable resources (chuyển đổi sang tài nguyên tái tạo),/rı'nu:ərəbl rı sərsız/,Tài nguyên tái tạo,Sustainable resources,Non-renewable resources,"Water and wind are considered renewable resources. (Nước và gió được coi là các tài nguyên tái tạo.)"
Robotics,field of robotics (lĩnh vực robot học) / advances in robotics (tiến bộ trong robot học),/rə'ba:tıks/,Robot học,Automated machinery,,"Robotics is advancing rapidly in the manufacturing sector. (Robot học đang tiến bộ nhanh chóng trong lĩnh vực sản xuất.)"
Smart homes,smart homes devices (thiết bị nhà thông minh) / live in smart homes (sống trong nhà thông minh),/smart houmz/,Nhà thông minh,Automated houses,,"Smart homes allow you to control lights with your voice. (Nhà thông minh cho phép bạn điều khiển đèn bằng giọng nói.)"
Social media,active on social media (hoạt động tích cực trên MXH) / social media platforms (nền tảng mạng xã hội),/'soufǝl 'midiə/,Mạng xã hội,Social networks,,"Teenagers spend a lot of time on social media. (Thanh thiếu niên dành nhiều thời gian trên mạng xã hội.)"
Software development,software development cycle (chu kỳ phát triển phần mềm) / custom software development (phát triển phần mềm tùy chỉnh),/'softwer dı veləpmənt/,Phát triển phần mềm,App creation,,"He works in software development for a tech giant. (Anh ấy làm việc trong lĩnh vực phát triển phần mềm cho một gã khổng lồ công nghệ.)"
Software engineering,software engineering degree (bằng kỹ sư phần mềm) / principles of software engineering (nguyên tắc kỹ thuật phần mềm),['softwer endzı'nıǝrın],Kỹ thuật phần mềm,Computer engineering,,"Software engineering requires strong logical thinking. (Kỹ thuật phần mềm đòi hỏi tư duy logic mạnh mẽ.)"
Software updates,install software updates (cài đặt bản cập nhật phần mềm) / regular software updates (cập nhật phần mềm thường xuyên),['softwer ap derts],Cập nhật phần mềm,System patches,,"Regular software updates help fix security bugs. (Cập nhật phần mềm thường xuyên giúp sửa các lỗi bảo mật.)"
Streaming services,subscribe to streaming services (đăng ký dịch vụ phát trực tuyến) / popular streaming services (dịch vụ phát trực tuyến phổ biến),/'stri:mın 's3:rVISIZ/,Dịch vụ phát trực tuyến,Media platforms,,"Netflix and Spotify are popular streaming services. (Netflix và Spotify là những dịch vụ phát trực tuyến phổ biến.)"
Sustainable technology,promote sustainable technology (thúc đẩy công nghệ bền vững) / invest in sustainable technology (đầu tư công nghệ bền vững),/sə'steinəbl tek'na:lədzi/,Công nghệ bền vững,Eco-friendly tech,,"Sustainable technology helps reduce our carbon footprint. (Công nghệ bền vững giúp giảm lượng khí thải carbon của chúng ta.)"
System integration,seamless system integration (tích hợp hệ thống liền mạch) / perform system integration (thực hiện tích hợp hệ thống),['sıstəm ıntı greifən],Tích hợp hệ thống,Network consolidation,,"System integration combines different software into one platform. (Tích hợp hệ thống kết hợp các phần mềm khác nhau thành một nền tảng.)"
Tech startup,launch a tech startup (ra mắt công ty khởi nghiệp công nghệ) / fund a tech startup (tài trợ công ty khởi nghiệp công nghệ),/tɛk 'sta:rtop/,Công ty khởi nghiệp công nghệ,New tech company,,"He left his corporate job to build a tech startup. (Anh ấy đã bỏ công việc tập đoàn để xây dựng một công ty khởi nghiệp công nghệ.)"
Tech-savvy,tech-savvy generation (thế hệ thạo công nghệ) / highly tech-savvy (rất am hiểu công nghệ),[tek-'sævi],Thành thạo công nghệ,Tech-literate,Technophobe,"The younger generation is generally more tech-savvy. (Thế hệ trẻ nhìn chung thành thạo công nghệ hơn.)"
Technological advancements,rapid technological advancements (tiến bộ công nghệ nhanh chóng) / significant technological advancements (tiến bộ công nghệ đáng kể),/ teknə ladzıkəl əd vænsmənts/,Tiến bộ công nghệ,Tech progress,,"Technological advancements have improved medical treatments. (Tiến bộ công nghệ đã cải thiện các phương pháp điều trị y tế.)"
Technological revolution,undergo a technological revolution (trải qua cách mạng công nghệ) / lead a technological revolution (dẫn dắt cách mạng công nghệ),/ teknə la:dzıkəl revə'lu:fən/,Cuộc cách mạng công nghệ,Digital revolution,,"The internet sparked a massive technological revolution. (Internet đã châm ngòi cho một cuộc cách mạng công nghệ khổng lồ.)"
Telecommunications,telecommunications network (mạng lưới viễn thông) / telecommunications industry (ngành công nghiệp viễn thông),/ telıkə, mju:nı kerſənz/,Viễn thông,Broadcasting,,"The telecommunications industry connects people globally. (Ngành viễn thông kết nối mọi người trên toàn cầu.)"
Telecommuting,trend of telecommuting (xu hướng làm việc từ xa) / embrace telecommuting (áp dụng làm việc từ xa),/'telıkə mju:tın/,Làm việc từ xa,Remote working,Working in-office,"Telecommuting saves employees hours of driving each week. (Làm việc từ xa giúp nhân viên tiết kiệm hàng giờ lái xe mỗi tuần.)"
User experience (UX),enhance user experience (nâng cao trải nghiệm người dùng) / seamless user experience (trải nghiệm người dùng liền mạch),/'ju:zər ık'spıriəns/,Trải nghiệm người dùng,Customer experience,,"A good app must provide a seamless user experience. (Một ứng dụng tốt phải cung cấp trải nghiệm người dùng liền mạch.)"
User interface (UI),intuitive user interface (giao diện người dùng trực quan) / clean user interface (giao diện người dùng rõ ràng),/'ju:zər 'intərfers/,Giao diện người dùng,Graphical interface,,"The new update features a very clean user interface. (Bản cập nhật mới có giao diện người dùng rất rõ ràng.)"
