Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Travel to other countries for experiencing culture diversity,encourage people to travel to other countries for experiencing culture diversity (khuyến khích mọi người đi du lịch để trải nghiệm đa dạng văn hóa),/ˈtrævəl... fɔːr ɪkˈspɪriənsɪŋ ˈkʌltʃər daɪˈvɜːrsəti/,Đi du lịch nước ngoài để trải nghiệm sự đa dạng văn hóa,travel abroad for cultural exposure,stay home / avoid foreign travel,"Many youths travel to other countries for experiencing culture diversity. (Nhiều thanh niên đi du lịch nước ngoài để trải nghiệm sự đa dạng văn hóa.)"
Broaden their horizons,reading helps broaden their horizons (đọc sách giúp mở mang tầm nhìn của họ),/ˈbrɔːdən ðɛr həˈraɪzənz/,Mở mang tầm nhìn của họ,expand their worldview / open their minds,narrow their minds,"Traveling is the best way for young people to broaden their horizons. (Đi du lịch là cách tốt nhất để những người trẻ mở mang tầm nhìn của họ.)"
Show great respect for...,show great respect for elders (thể hiện sự tôn trọng người lớn tuổi),/ʃoʊ ɡreɪt rɪˈspɛkt fɔːr/,Thể hiện sự tôn trọng ai đó / điều gì đó,demonstrate high regard for / honor,disrespect / insult,"We must show great respect for different religious beliefs. (Chúng ta phải thể hiện sự tôn trọng sâu sắc đối với các tín ngưỡng tôn giáo khác nhau.)"
A strong sense of identity,develop a strong sense of identity (phát triển một cái tôi mạnh mẽ),/ə strɔːŋ sɛns əv aɪˈdɛntəti/,Một cái tôi/bản sắc mạnh mẽ,a clear self-concept / strong cultural roots,loss of identity / identity crisis,"Traditional festivals help communities maintain a strong sense of identity. (Các lễ hội truyền thống giúp cộng đồng duy trì bản sắc văn hóa mạnh mẽ.)"
The growing influence of western culture,limit the growing influence of western culture (hạn chế sự ảnh hưởng ngày càng tăng của văn hóa phương Tây),/ðə ˈɡroʊɪŋ ˈɪnfluəns əv ˈwɛstərn ˈkʌltʃər/,Sự ảnh hưởng ngày càng tăng của văn hóa phương Tây,the rising impact of Westernization,the preservation of Eastern culture,"Some Asian countries worry about the growing influence of western culture. (Một số quốc gia châu Á lo lắng về sự ảnh hưởng ngày càng tăng của văn hóa phương Tây.)"
The disappearance of some minority languages,prevent the disappearance of some minority languages (ngăn chặn sự biến mất của 1 số ngôn ngữ thiểu số),/ðə ˌdɪsəˈpɪrəns əv sʌm maɪˈnɔːrəti ˈlæŋɡwɪdʒɪz/,Sự biến mất của 1 số ngôn ngữ thiểu số,the extinction of rare languages,the revival of indigenous languages,"Globalization has accelerated the disappearance of some minority languages. (Toàn cầu hóa đã đẩy nhanh sự biến mất của một số ngôn ngữ thiểu số.)"
A multicultural society,live in a multicultural society (sống trong một xã hội đa văn hóa),/ə ˌmʌltiˈkʌltʃərəl səˈsaɪəti/,Một xã hội đa văn hóa,a diverse society / a melting pot,a homogeneous society,"Canada is widely known as a thriving multicultural society. (Canada được biết đến rộng rãi như một xã hội đa văn hóa phát triển mạnh mẽ.)"
People of different cultural backgrounds,interact with people of different cultural backgrounds (tương tác với người thuộc các nền văn hóa khác nhau),/ˈpiːpəl əv ˈdɪfərənt ˈkʌltʃərəl ˈbækɡraʊndz/,Người thuộc các nền văn hóa khác nhau,individuals from diverse cultures,people of the same ethnicity,"Workplaces today employ people of different cultural backgrounds. (Nơi làm việc ngày nay tuyển dụng những người thuộc các nền văn hóa khác nhau.)"
Lead to tension and conflict,cultural differences can lead to tension and conflict (sự khác biệt văn hóa có thể dẫn tới căng thẳng và xung đột),/liːd tuː ˈtɛnʃən ənd ˈkɑːnflɪkt/,Dẫn tới căng thẳng và xung đột,cause friction and clashes / create hostility,promote peace and harmony,"Misunderstandings in a diverse community can lead to tension and conflict. (Sự hiểu lầm trong một cộng đồng đa dạng có thể dẫn đến căng thẳng và xung đột.)"
Abandon one's own culture,force someone to abandon one's own culture (buộc ai đó từ bỏ văn hóa của mình),/əˈbændən wʌnz oʊn ˈkʌltʃər/,Từ bỏ văn hóa của ai đó,forsake native traditions / give up cultural roots,preserve one's culture / stick to traditions,"Immigrants should not have to abandon their own culture to fit in. (Người nhập cư không cần phải từ bỏ văn hóa của chính mình để hòa nhập.)"

