Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
In the hope of having a better life,immigrate in the hope of having a better life (nhập cư với hy vọng có cuộc sống tốt hơn),/ɪn ðə hoʊp əv ˈhævɪŋ ə ˈbɛtər laɪf/,Với hy vọng có một cuộc sống tốt đẹp hơn,wishing for an improved standard of living,resigning to a worse fate,"They crossed the border in the hope of having a better life for their children. (Họ đã vượt biên với hy vọng có một cuộc sống tốt đẹp hơn cho con cái họ.)"
High living costs,cope with high living costs (đối phó với chi phí sinh hoạt cao),/haɪ ˈlɪvɪŋ kɔːsts/,Chi phí sinh hoạt cao,expensive standard of living / steep daily expenses,low living costs / affordable lifestyle,"New York is famous for its extremely high living costs. (New York nổi tiếng với chi phí sinh hoạt cực kỳ cao.)"
High levels of pollution and noise,suffer from high levels of pollution and noise (chịu đựng mức độ ô nhiễm và tiếng ồn cao),/haɪ ˈlɛvəlz əv pəˈluːʃən ənd nɔɪz/,Mức độ ô nhiễm và tiếng ồn cao,severe environmental contamination and loud sounds,clean air and tranquility,"Residents near the airport endure high levels of pollution and noise. (Cư dân gần sân bay phải chịu đựng mức độ ô nhiễm và tiếng ồn cao.)"
Poor air quality,health issues caused by poor air quality (vấn đề sức khỏe do chất lượng không khí kém),/pʊr ɛr ˈkwɑːləti/,Chất lượng không khí kém,smoggy atmosphere / heavily polluted air,clean air / pure oxygen,"Asthma rates rise in cities with chronically poor air quality. (Tỷ lệ mắc bệnh hen suyễn tăng ở những thành phố có chất lượng không khí kém kinh niên.)"
Pay higher prices for food and accommodation,city dwellers pay higher prices for food and accommodation (cư dân TP trả giá cao hơn cho thực phẩm và chỗ ở),/peɪ ˈhaɪər ˈpraɪsɪz fɔːr fuːd ənd əˌkɑːməˈdeɪʃən/,Trả giá cao hơn cho thức ăn và chỗ ở,face inflated costs for groceries and housing,enjoy cheap living expenses,"When moving downtown, you must expect to pay higher prices for food and accommodation. (Khi chuyển đến trung tâm thành phố, bạn phải chuẩn bị tinh thần trả giá cao hơn cho thức ăn và chỗ ở.)"
Lack of sufficient housing/open space,suffer from a lack of sufficient housing (chịu cảnh thiếu nhà ở đầy đủ),/læk əv səˈfɪʃənt ˈhaʊzɪŋ/,Thiếu nhà ở / không gian mở,housing shortage / absence of public parks,abundance of homes and parks,"The rapid influx of workers caused a severe lack of sufficient housing. (Dòng người lao động đổ về ồ ạt đã gây ra tình trạng thiếu nhà ở nghiêm trọng.)"
Suffer from various health problems,sedentary people suffer from various health problems (người ít vận động mắc nhiều vấn đề sức khỏe),/ˈsʌfər frəm ˈvɛriəs hɛlθ ˈprɑːbləmz/,Bị các vấn đề sức khỏe khác nhau (như hen suyễn/béo phì/đột quỵ),experience diverse medical issues / be afflicted by illnesses,enjoy robust health,"People living near chemical plants often suffer from various health problems. (Những người sống gần các nhà máy hóa chất thường bị các vấn đề sức khỏe khác nhau.)"
At a higher risk of stress, depression,overworked staff are at a higher risk of stress (nhân viên làm việc quá sức có nguy cơ stress cao hơn),/æt ə ˈhaɪər rɪsk əv strɛs/,Có nguy cơ cao bị căng thẳng và trầm cảm,more susceptible to mental breakdowns / vulnerable to anxiety,mentally resilient / stress-free,"Urban workers are at a higher risk of stress and depression than rural ones. (Người lao động thành thị có nguy cơ cao bị căng thẳng và trầm cảm hơn người ở nông thôn.)"
Lead a sedentary lifestyle,office workers tend to lead a sedentary lifestyle (nhân viên văn phòng dễ có lối sống ít vận động),/liːd ə ˈsɛdənˌtɛri ˈlaɪfˌstaɪl/,Có một lối sống ít vận động,live an inactive life / sit too much,lead an active and sporty life,"Leading a sedentary lifestyle is a primary cause of obesity. (Có một lối sống ít vận động là nguyên nhân chính gây ra bệnh béo phì.)"
Have a poor quality of life,slum residents have a poor quality of life (cư dân khu ổ chuột có chất lượng sống kém),/hæv ə pʊr ˈkwɑːləti əv laɪf/,Có chất lượng cuộc sống kém,experience low living standards / endure terrible living conditions,enjoy a high quality of life,"Without access to clean water, people inevitably have a poor quality of life. (Không có nước sạch, người dân chắc chắn sẽ có chất lượng cuộc sống kém.)"
Live in slums or informal settlements,millions live in slums or informal settlements (hàng triệu người sống ở khu ổ chuột),/lɪv ɪn slʌmz ɔːr ɪnˈfɔːrməl ˈsɛtəlmənts/,Sống trong khu ổ chuột hoặc khu định cư không chính thức,reside in shantytowns / inhabit squatter camps,live in luxury apartments,"In developing mega-cities, many migrants are forced to live in slums or informal settlements. (Ở các siêu đô thị đang phát triển, nhiều người di cư buộc phải sống trong khu ổ chuột hoặc khu định cư không chính thức.)"
Inadequate sewage facilities,disease spreads due to inadequate sewage facilities (dịch bệnh lây lan do cơ sở thoát nước kém),/ɪnˈædɪkwət ˈsuːɪdʒ fəˈsɪlətiz/,Cơ sở thoát nước không đầy đủ,poor drainage systems / lacking sanitation infrastructure,modern plumbing / advanced sewage treatment,"Inadequate sewage facilities often lead to severe water pollution. (Cơ sở thoát nước không đầy đủ thường dẫn đến ô nhiễm nước nghiêm trọng.)"
Water and sanitation problems,tackle water and sanitation problems (giải quyết vấn đề nước và vệ sinh),/ˈwɔːtər ənd ˌsænɪˈteɪʃən ˈprɑːbləmz/,Những vấn đề về nước và vệ sinh,hygiene issues / clean water shortages,excellent plumbing and clean water,"The refugee camp is facing terrible water and sanitation problems. (Trại tị nạn đang phải đối mặt với những vấn đề về nước và vệ sinh khủng khiếp.)"
Have a wider gap between rich and poor,cities have a wider gap between rich and poor (các thành phố có khoảng cách giàu nghèo lớn hơn),/hæv ə ˈwaɪdər ɡæp bɪˈtwiːn rɪtʃ ənd pʊr/,Có khoảng cách rộng hơn giữa người giàu và người nghèo,experience growing economic inequality / show stark wealth disparities,have an egalitarian society,"Capitalist societies often have a wider gap between rich and poor. (Các xã hội tư bản thường có khoảng cách rộng hơn giữa người giàu và người nghèo.)"
Face financial difficulties / struggle financially,students often face financial difficulties (sinh viên thường đối mặt với khó khăn tài chính),/feɪs faɪˈnænʃəl ˈdɪfɪkəltiz /,Đối mặt với khó khăn tài chính,experience economic hardship / deal with money problems,be financially secure,"After losing his job, he began to face financial difficulties. (Sau khi mất việc, anh ấy bắt đầu đối mặt với khó khăn tài chính.)"
A faster pace of life,adapt to a faster pace of life (thích nghi với nhịp sống nhanh hơn),/ə ˈfæstər peɪs əv laɪf/,Tốc độ sống nhanh hơn,a more hectic lifestyle / a hurried existence,a slow and relaxed pace of life,"The city offers great jobs but demands adapting to a much faster pace of life. (Thành phố mang lại công việc tuyệt vời nhưng đòi hỏi phải thích nghi với nhịp sống nhanh hơn nhiều.)"
Live in inner-city areas,poor families live in inner-city areas (các gia đình nghèo sống ở nội thành),/lɪv ɪn ˈɪnər-ˈsɪti ˈɛriəz/,Sống ở khu vực nội thành / trung tâm thành phố,reside in downtown neighborhoods / inhabit central urban zones,live in the suburbs,"Many young professionals prefer to live in inner-city areas close to their offices. (Nhiều chuyên gia trẻ thích sống ở khu vực nội thành gần văn phòng của họ.)"
Have better transport links,urban centers have better transport links (trung tâm đô thị có kết nối giao thông tốt hơn),/hæv ˈbɛtər ˈtrænspɔːrt lɪŋks/,Có hệ thống giao thông tốt hơn,offer superior transit connections / possess excellent public transport,have poor transportation,"Living downtown is convenient because you have better transport links. (Sống ở trung tâm rất tiện lợi vì bạn có hệ thống giao thông tốt hơn.)"
Offer more job opportunities,big cities offer more job opportunities (thành phố lớn mang lại nhiều cơ hội việc làm),/ˈɔːfər mɔːr dʒɑːb ˌɑːpərˈtuːnətiz/,Cung cấp nhiều cơ hội việc làm hơn,provide greater employment chances / create more vacancies,lack jobs,"Universities in the capital generally offer more job opportunities after graduation. (Các trường đại học ở thủ đô nói chung cung cấp nhiều cơ hội việc làm hơn sau khi tốt nghiệp.)"
Close to amenities,a house close to amenities (ngôi nhà gần các tiện nghi),/kloʊs tuː əˈmɛnətiz/,Gần các tiện nghi (như trung tâm mua sắm/thư viện),near local conveniences / adjacent to public facilities,far from basic facilities,"Families love this neighborhood because it is close to amenities like parks and schools. (Các gia đình yêu thích khu phố này vì nó gần các tiện nghi như công viên và trường học.)"
Have access to better educational facilities,urban kids have access to better educational facilities (trẻ em thành thị được tiếp cận CSGD tốt hơn),/hæv ˈæksɛs tuː ˈbɛtər ˌɛdʒuˈkeɪʃənəl fəˈsɪlətiz/,Được tiếp cận với các cơ sở giáo dục và dịch vụ y tế tốt hơn,enjoy superior schooling infrastructure / can use top-tier schools,lack proper schools,"Parents move to the city so their children can have access to better educational facilities. (Cha mẹ chuyển đến thành phố để con cái họ được tiếp cận với các cơ sở giáo dục tốt hơn.)"

