Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Cardiovascular exercise,"engage in cardiovascular exercise (tập bài tập tim mạch) / rigorous cardiovascular exercise (bài tập tim mạch cường độ cao)","/ kardiou'væskjələr eksǝrsaız/","Bài tập tim mạch","cardio workout, aerobic exercise, heart-pumping activity","sedentary behavior, rest, inactivity","Swimming is a highly recommended cardiovascular exercise. (Bơi lội là một bài tập tim mạch rất được khuyến khích.)"
Chiropractic,"chiropractic treatment (điều trị thần kinh cột sống) / undergo chiropractic care (tiếp nhận chăm sóc thần kinh cột sống)","/kairou præktık/","Trị liệu thần kinh cột sống","spinal adjustment, back manipulation, osteopathy","traditional surgery, medication","Many people find relief from back pain through chiropractic therapy. (Nhiều người thấy giảm đau lưng thông qua trị liệu thần kinh cột sống.)"
Chiropractor,"consult a chiropractor (thăm khám bác sĩ chỉnh hình) / licensed chiropractor (bác sĩ chỉnh hình được cấp phép)","/'kaırov præktər/","Bác sĩ chỉnh hình","spine specialist, osteopath, bone doctor","","My chiropractor helped me fix my terrible posture. (Bác sĩ chỉnh hình đã giúp tôi sửa lại tư thế tồi tệ của mình.)"
Cholesterol,"high cholesterol (mỡ máu cao) / lower your cholesterol (giảm mỡ máu)","/kə'lestǝrǝ:l/","Mỡ máu","blood fat, dietary cholesterol, lipid levels","","Eating too much fast food can lead to high cholesterol. (Ăn quá nhiều thức ăn nhanh có thể dẫn đến mỡ máu cao.)"
Circulatory system,"healthy circulatory system (hệ tuần hoàn khỏe mạnh) / affect the circulatory system (ảnh hưởng đến hệ tuần hoàn)","/'s3:rkjələ tɔ:ri 'sıstəm/","Hệ tuần hoàn","cardiovascular system, blood flow system","","The heart is the most vital organ in the circulatory system. (Tim là cơ quan quan trọng nhất trong hệ tuần hoàn.)"
Cleanliness,"maintain cleanliness (duy trì sự sạch sẽ) / personal cleanliness (sự sạch sẽ cá nhân)","/'klenlınǝs/","Sự sạch sẽ","hygiene, sanitation, purity, neatness, tidiness","dirtiness, filth, contamination, pollution, squalor","Strict cleanliness is required in hospital operating rooms. (Sự sạch sẽ nghiêm ngặt được yêu cầu trong các phòng mổ của bệnh viện.)"
CT scan (Computed Tomography),"undergo a CT scan (chụp CT) / CT scan results (kết quả chụp CT)","/si: ti: skæn/","Xét nghiệm CT","CAT scan, imaging test, medical scan, computerized tomography","","The doctor ordered a CT scan to examine his brain. (Bác sĩ yêu cầu chụp CT để kiểm tra não của anh ấy.)"
Dehydration,"suffer from dehydration (bị mất nước) / prevent dehydration (ngăn ngừa mất nước)","/ di har dreıfən/","Sự mất nước","fluid loss, excessive thirst, dryness, desiccation","hydration, fluid intake, moisturization","Drink plenty of water during summer to avoid dehydration. (Hãy uống nhiều nước trong mùa hè để tránh bị mất nước.)"
Depression,"suffer from depression (mắc chứng trầm cảm) / clinical depression (trầm cảm lâm sàng)","/dı'prefǝn/","Trầm cảm","melancholy, sadness, despair, gloom, despondency","happiness, joy, cheerfulness, elation, euphoria","Therapy and medication can help people overcome depression. (Trị liệu và thuốc có thể giúp mọi người vượt qua chứng trầm cảm.)"
Detoxification,"body detoxification (sự thanh lọc cơ thể) / detoxification program (chương trình thải độc)","/di: taksıfı' kerſən/","Sự thanh lọc cơ thể","detox, cleansing, purification, toxin removal","intoxication, poisoning, contamination","Drinking green tea is a natural method of detoxification. (Uống trà xanh là một phương pháp thanh lọc cơ thể tự nhiên.)"
Diabetes,"Type 2 diabetes (tiểu đường loại 2) / manage diabetes (quản lý bệnh tiểu đường)","/darə bi:ti:z/","Tiểu đường","blood sugar disease, metabolic disorder","","A strict diet is required to effectively manage diabetes. (Cần có một chế độ ăn kiêng nghiêm ngặt để quản lý bệnh tiểu đường hiệu quả.)"
Diagnosis,"medical diagnosis (chẩn đoán y khoa) / accurate diagnosis (chẩn đoán chính xác)","/ darǝg'nousıS/","Chẩn đoán","identification, analysis, examination, conclusion, evaluation","misdiagnosis, misconception, misinterpretation","An early diagnosis can save a patient's life. (Một chẩn đoán sớm có thể cứu sống bệnh nhân.)"
Digestive,"digestive system (hệ tiêu hóa) / digestive problems (các vấn đề tiêu hóa)","/dar'dzestiv/","Liên quan đến tiêu hóa","alimentary, metabolic","","Yogurt contains probiotics that are good for your digestive health. (Sữa chua chứa men vi sinh rất tốt cho sức khỏe tiêu hóa của bạn.)"
Digestive system,"healthy digestive system (hệ tiêu hóa khỏe mạnh) / regulate the digestive system (điều hòa hệ tiêu hóa)","/dai'dgestiv 'sıstəm/","Hệ tiêu hóa","gastrointestinal tract, alimentary canal, gut","","Fiber is crucial for maintaining a healthy digestive system. (Chất xơ rất quan trọng để duy trì một hệ tiêu hóa khỏe mạnh.)"
Disease,"infectious disease (bệnh truyền nhiễm) / prevent disease (ngăn ngừa bệnh tật)","/dı'zi:z/","Bệnh tật","illness, sickness, ailment, condition, malady","health, wellness, well-being, fitness, vitality","Vaccinations have eradicated many deadly diseases. (Tiêm chủng đã tiêu diệt nhiều căn bệnh chết người.)"
Doctor,"consult a doctor (hỏi ý kiến bác sĩ) / family doctor (bác sĩ gia đình)","/'da:ktər/","Bác sĩ","physician, medical practitioner, specialist, clinician","patient, invalid","You should see a doctor if your symptoms persist. (Bạn nên đi khám bác sĩ nếu các triệu chứng của bạn vẫn tiếp diễn.)"
Emergency,"medical emergency (tình trạng khẩn cấp y tế) / state of emergency (tình trạng khẩn cấp)","/1'm3:rdzənsi/","Tình trạng khẩn cấp","crisis, urgency, exigency, critical situation","normality, calm, stability, routine","Please call an ambulance immediately; this is an emergency. (Vui lòng gọi xe cấp cứu ngay lập tức; đây là tình trạng khẩn cấp.)"
Emotional well-being,"promote emotional well-being (thúc đẩy trạng thái tâm lý tốt) / maintain emotional well-being (duy trì trạng thái tâm lý tốt)","/1' moufənl wel bi.in/","Tình trạng tâm lý tốt","mental health, emotional stability, psychological wellness, inner peace","emotional distress, mental illness, psychological trauma","Spending time with loved ones is vital for your emotional well-being. (Dành thời gian cho những người thân yêu là rất quan trọng cho trạng thái tâm lý tốt của bạn.)"
Endocrine system,"regulate the endocrine system (điều hòa hệ nội tiết) / endocrine system disorders (rối loạn hệ nội tiết)","/'endou kraın 'sıstəm/","Hệ nội tiết","hormonal system, glandular system","","The endocrine system controls hormones that regulate growth and metabolism. (Hệ nội tiết kiểm soát các hormone điều chỉnh sự phát triển và trao đổi chất.)"
Exercise,"regular exercise (tập thể dục thường xuyên) / light exercise (tập thể dục nhẹ nhàng)","'/eksərsaız/","Tập luyện","workout, physical activity, training, gymnastics","inactivity, rest, sedentary lifestyle, laziness","Thirty minutes of daily exercise can boost your immune system. (Ba mươi phút tập thể dục mỗi ngày có thể tăng cường hệ thống miễn dịch của bạn.)"
Fatigue,"chronic fatigue (mệt mỏi mãn tính) / suffer from fatigue (bị mệt mỏi)","/fǝ'ti:g/","Mệt mỏi","exhaustion, tiredness, weariness, lethargy, sluggishness","energy, vigor, vitality, liveliness, stamina","Lack of sleep often leads to mental and physical fatigue. (Thiếu ngủ thường dẫn đến mệt mỏi về tinh thần và thể chất.)"
Fever,"high fever (sốt cao) / slight fever (sốt nhẹ)","/'fi:vǝr/","Sốt","high temperature, hyperthermia, heat","normal temperature, coldness","She stayed home from work because she had a severe fever. (Cô ấy đã ở nhà không đi làm vì bị sốt nặng.)"
First aid,"administer first aid (sơ cứu) / first aid kit (bộ sơ cứu)","/f3:rst eid/","Sơ cứu","emergency treatment, initial care, emergency assistance","","Everyone should learn basic first aid to handle accidents. (Mọi người nên học sơ cứu cơ bản để xử lý tai nạn.)"
Fitness,"fitness level (mức độ thể chất) / physical fitness (thể lực)","/'fıtnǝs/","Tình trạng thể chất","health, robustness, strength, vigor, wellness","unfitness, weakness, frailty, illness","He goes to the gym daily to maintain his fitness. (Anh ấy đến phòng tập thể dục hàng ngày để duy trì thể lực.)"
Flexibility,"improve flexibility (cải thiện độ linh hoạt) / physical flexibility (độ linh hoạt thể chất)","/ fleksə bıləti/","Độ linh hoạt","suppleness, agility, elasticity, pliancy","stiffness, rigidity, inflexibility, tenseness","Yoga is excellent for increasing your body's flexibility. (Yoga rất tuyệt vời để tăng cường độ linh hoạt của cơ thể bạn.)"
Fracture,"bone fracture (gãy xương) / suffer a fracture (bị gãy xương)","/'fræktfər/","Gãy xương","break, crack, split, rupture","healing, mending, joining","The X-ray revealed a small fracture in his left arm. (Phim X-quang cho thấy một vết gãy nhỏ ở cánh tay trái của anh ấy.)"
Headache,"severe headache (đau đầu dữ dội) / cure a headache (chữa đau đầu)","/'he derk/","Đau đầu","migraine, head pain, cephalalgia","comfort, relief","Staring at the screen all day gave me a terrible headache. (Nhìn chằm chằm vào màn hình cả ngày khiến tôi bị đau đầu khủng khiếp.)"
Health,"public health (sức khỏe cộng đồng) / in good health (có sức khỏe tốt)","/hείθ/","Sức khỏe","well-being, fitness, wellness, vitality, robustness","illness, disease, sickness, ailment, frailty","Eating lots of vegetables is beneficial to your overall health. (Ăn nhiều rau quả rất có lợi cho sức khỏe tổng thể của bạn.)"
Health insurance,"comprehensive health insurance (bảo hiểm y tế toàn diện) / buy health insurance (mua bảo hiểm y tế)","/hɛle in furəns/","Bảo hiểm sức khỏe","medical insurance, health coverage, medical plan","","Health insurance is essential to cover unexpected medical bills. (Bảo hiểm y tế là điều cần thiết để chi trả cho các hóa đơn y tế bất ngờ.)"
Health screening,"routine health screening (tầm soát sức khỏe định kỳ) / free health screening (tầm soát sức khỏe miễn phí)","/hele skrinın/","Kiểm tra sức khỏe","medical check-up, health assessment, physical examination","","Early detection through health screening can prevent serious illnesses. (Phát hiện sớm thông qua việc tầm soát sức khỏe có thể ngăn ngừa các bệnh hiểm nghèo.)"
Healthy eating,"promote healthy eating (thúc đẩy ăn uống lành mạnh) / healthy eating habits (thói quen ăn uống lành mạnh)","/ helei  i:tın/","Ăn uống lành mạnh","nutritious diet, wholesome eating, clean eating","junk food consumption, unhealthy diet, binge eating","Schools should educate children about the importance of healthy eating. (Các trường học nên giáo dục trẻ em về tầm quan trọng của việc ăn uống lành mạnh.)"
Healthy lifestyle,"adopt a healthy lifestyle (áp dụng lối sống lành mạnh) / maintain a healthy lifestyle (duy trì lối sống lành mạnh)","/'helei 'larfstaıl/","Lối sống lành mạnh","wholesome way of living, wellness routine, fit lifestyle","unhealthy lifestyle, sedentary lifestyle, destructive habits","Quitting smoking is the first step toward a healthy lifestyle. (Bỏ hút thuốc là bước đầu tiên hướng tới một lối sống lành mạnh.)"
Heart,"heart disease (bệnh tim) / beat of the heart (nhịp tim)","/ha:rt/","Trái tim","ticker, cardiac organ, lifeblood","","Cardiovascular exercises keep your heart strong and healthy. (Các bài tập tim mạch giữ cho trái tim của bạn mạnh mẽ và khỏe mạnh.)"
Heart attack,"suffer a heart attack (bị nhồi máu cơ tim) / fatal heart attack (nhồi máu cơ tim gây tử vong)","/hairt  tæk/","Nhồi máu cơ tim","myocardial infarction, cardiac arrest, heart failure","","High cholesterol and stress can increase the risk of a heart attack. (Mỡ máu cao và căng thẳng có thể làm tăng nguy cơ bị nhồi máu cơ tim.)"
Heart rate,"monitor heart rate (theo dõi nhịp tim) / resting heart rate (nhịp tim lúc nghỉ ngơi)","/ha:rt reit/","Nhịp tim","pulse, pulse rate, cardiac rhythm","","Smartwatches can easily track your heart rate during workouts. (Đồng hồ thông minh có thể dễ dàng theo dõi nhịp tim của bạn trong quá trình tập luyện.)"
Herbal medicine,"traditional herbal medicine (thảo dược truyền thống) / practice herbal medicine (hành nghề dùng thảo dược)","/'h3:rbəl 'medısən/","Dược thảo","natural remedies, botanical medicine, phytotherapy","synthetic drugs, modern medicine, pharmaceuticals","Many Asian cultures rely heavily on herbal medicine. (Nhiều nền văn hóa châu Á phụ thuộc nhiều vào dược thảo.)"
Herbal remedies,"use herbal remedies (sử dụng phương pháp chữa bằng thảo dược) / effective herbal remedies (phương pháp chữa bằng thảo dược hiệu quả)","/'h3rbəl remıdiz/","Phương pháp chữa bằng thảo dược","natural treatments, plant-based cures, holistic healing","prescription pills, chemical treatments","Ginger and honey are popular herbal remedies for a sore throat. (Gừng và mật ong là những phương pháp chữa bằng thảo dược phổ biến cho bệnh viêm họng.)"
High blood pressure,"diagnosed with high blood pressure (được chẩn đoán bị huyết áp cao) / control high blood pressure (kiểm soát huyết áp cao)","/haı blad 'prefər/","Huyết áp cao","hypertension, elevated blood pressure","low blood pressure, hypotension","Reducing salt intake is crucial for people with high blood pressure. (Giảm lượng muối ăn vào là rất quan trọng đối với những người bị huyết áp cao.)"
Homeopathy,"practice homeopathy (thực hành y học cổ truyền/vi lượng đồng căn) / rely on homeopathy (dựa vào vi lượng đồng căn)","/houmi'apǝei/","Y học cổ truyền (vi lượng đồng căn)","alternative medicine, natural healing, holistic therapy","allopathy, conventional medicine","Some people prefer homeopathy over modern chemical medicines. (Một số người thích vi lượng đồng căn hơn các loại thuốc hóa học hiện đại.)"
Hospital,"admitted to the hospital (nhập viện) / local hospital (bệnh viện địa phương)","/'ha:spitl/","Bệnh viện","medical center, clinic, infirmary, sanatorium","","He was rushed to the hospital after the car accident. (Anh ấy đã được đưa gấp đến bệnh viện sau vụ tai nạn xe hơi.)"
Hydration,"maintain hydration (duy trì lượng nước) / proper hydration (sự cung cấp đủ nước)","/haı' dreıfən/","Sự cung cấp nước","fluid intake, moisturizing, drinking water","dehydration, desiccation, fluid loss","Proper hydration is essential when exercising in hot weather. (Sự cung cấp đủ nước là rất cần thiết khi tập thể dục trong thời tiết nóng.)"
Hygiene,"personal hygiene (vệ sinh cá nhân) / poor hygiene (vệ sinh kém)","/'hai, dzin/","Vệ sinh","cleanliness, sanitation, purity, disinfection","filth, dirtiness, unhealthiness, squalor","Washing your hands regularly is a basic rule of good hygiene. (Rửa tay thường xuyên là một quy tắc cơ bản của việc vệ sinh tốt.)"
Hypertension,"suffer from hypertension (bị tăng huyết áp) / treat hypertension (điều trị tăng huyết áp)","/haipər tenfən/","Tăng huyết áp","high blood pressure, elevated BP","hypotension, low blood pressure","Chronic stress is a major contributing factor to hypertension. (Căng thẳng mãn tính là một yếu tố góp phần lớn gây ra tăng huyết áp.)"
Illness,"terminal illness (bệnh nan y) / recover from an illness (phục hồi sau cơn bạo bệnh)","/'ılnas/","Ốm, bệnh tật","disease, sickness, ailment, malady, affliction","health, wellness, well-being, vigor","She missed two weeks of school due to a severe illness. (Cô ấy đã nghỉ học hai tuần do một căn bệnh nghiêm trọng.)"
Immune system,"boost the immune system (tăng cường hệ miễn dịch) / weak immune system (hệ miễn dịch yếu)","/1'mjun 'sıstəm/","Hệ miễn dịch","body's defense, immune response","","Vitamin C is well-known for helping to strengthen the immune system. (Vitamin C nổi tiếng với việc giúp củng cố hệ miễn dịch.)"
Infection,"viral infection (nhiễm trùng do virus) / prevent infection (ngăn ngừa nhiễm trùng)","/ın feksǝn/","Nhiễm trùng","contagion, disease, virus, inflammation, contamination","sterility, cleanliness, purification","The doctor prescribed antibiotics to clear up the bacterial infection. (Bác sĩ đã kê đơn thuốc kháng sinh để làm sạch tình trạng nhiễm trùng do vi khuẩn.)"
Injury,"sports injury (chấn thương thể thao) / fatal injury (chấn thương gây tử vong)","/'ındzəri/","Chấn thương","wound, trauma, damage, hurt, harm","healing, cure, recovery","He had to quit playing football due to a severe knee injury. (Anh ấy đã phải bỏ chơi bóng đá do một chấn thương đầu gối nghiêm trọng.)"
Insomnia,"suffer from insomnia (bị chứng mất ngủ) / cure insomnia (chữa chứng mất ngủ)","/ın samniǝ/","Chứng mất ngủ","sleeplessness, wakefulness, sleep disorder","sound sleep, slumber, hypersomnia","Drinking caffeine late at night can cause insomnia. (Uống caffeine vào đêm khuya có thể gây ra chứng mất ngủ.)"
Joints,"stiff joints (khớp bị cứng) / aching joints (đau khớp)","/d3oints/","Khớp","articulations, connections, hinges","","Arthritis causes inflammation and severe pain in the joints. (Bệnh viêm khớp gây viêm và đau dữ dội ở các khớp.)"
Kidneys,"kidney failure (suy thận) / donate a kidney (hiến thận)","/'kıdni:z/","Thận","renal organs, blood filters","","The kidneys play a vital role in filtering waste from the blood. (Thận đóng vai trò quan trọng trong việc lọc chất thải khỏi máu.)"
Liver,"liver disease (bệnh gan) / damage the liver (gây tổn thương gan)","/'lıvər/","Gan","hepatic organ, detoxifying organ","","Drinking too much alcohol can severely damage your liver. (Uống quá nhiều rượu có thể làm hỏng gan của bạn một cách nghiêm trọng.)"
Lungs,"lung cancer (ung thư phổi) / healthy lungs (phổi khỏe mạnh)","ΙληΖ/","Phổi","respiratory organs, breathing organs","","Smoking is the leading cause of damage to the lungs. (Hút thuốc là nguyên nhân hàng đầu gây tổn thương cho phổi.)"
Medical check-up,"annual medical check-up (khám sức khỏe định kỳ hàng năm) / undergo a medical check-up (trải qua một buổi khám sức khỏe)","/'madıkəl tekop/","Khám sức khỏe định kỳ","health screening, physical examination, wellness exam","","It is highly recommended to have a medical check-up every year. (Việc đi khám sức khỏe định kỳ mỗi năm rất được khuyến khích.)"
Medication,"prescribed medication (thuốc được kê đơn) / on medication (đang dùng thuốc)","/ madı kerſən/","Thuốc","drugs, medicine, pills, pharmaceuticals, remedies","","You must take your medication exactly as the doctor directed. (Bạn phải uống thuốc chính xác như bác sĩ đã chỉ định.)"
Mental health,"mental health awareness (nhận thức về sức khỏe tâm thần) / improve mental health (cải thiện sức khỏe tâm thần)","/'mentl helθ/","Sức khỏe tâm thần","psychological well-being, emotional health, mental wellness","mental illness, psychiatric disorder, depression","Society is paying much more attention to mental health issues now. (Xã hội hiện nay đang chú ý nhiều hơn đến các vấn đề sức khỏe tâm thần.)"
Mindfulness,"practice mindfulness (thực hành sự tỉnh thức) / mindfulness meditation (thiền chánh niệm)","/'maındfǝlnəs/","Sự tỉnh thức","awareness, consciousness, attentiveness, focus","inattention, distraction, absent-mindedness","Mindfulness helps people stay calm and focused in the present moment. (Sự tỉnh thức giúp mọi người giữ bình tĩnh và tập trung vào khoảnh khắc hiện tại.)"
Minerals,"vitamins and minerals (vitamin và khoáng chất) / essential minerals (khoáng chất thiết yếu)","/'mınǝrǝlz/","Khoáng chất","nutrients, dietary elements, inorganic substances","","Our bodies need trace minerals like zinc and magnesium to function. (Cơ thể chúng ta cần các khoáng chất vi lượng như kẽm và magie để hoạt động.)"
MRI (Magnetic Resonance Imaging),"undergo an MRI (chụp cộng hưởng từ) / MRI scan (bản quét MRI)","/ɛma:rai'ai/","Cộng hưởng từ","medical imaging, magnetic scan, resonance scan","","The doctor ordered an MRI to get a detailed view of the brain tissue. (Bác sĩ đã yêu cầu chụp MRI để có cái nhìn chi tiết về mô não.)"
Muscles,"build muscles (xây dựng cơ bắp) / sore muscles (cơ bắp đau nhức)","'/masǝlz/","Cơ bắp","brawn, sinews, flesh, physical strength","weakness, frailty","Lifting weights is the best way to strengthen your muscles. (Nâng tạ là cách tốt nhất để tăng cường cơ bắp của bạn.)"
Nervous system,"central nervous system (hệ thần kinh trung ương) / damage the nervous system (làm hỏng hệ thần kinh)","/'n3:rvas 'sıstəm/","Hệ thần kinh","neural network, neurological system","","The brain and spinal cord make up the central nervous system. (Não và tủy sống cấu tạo nên hệ thần kinh trung ương.)"
Nurse,"registered nurse (y tá được cấp phép) / head nurse (y tá trưởng)","/n3:rs/","Y tá","caregiver, medical assistant, healthcare worker","patient","The nurse came in to check the patient's temperature. (Y tá bước vào để kiểm tra nhiệt độ của bệnh nhân.)"
Nutrients,"essential nutrients (chất dinh dưỡng thiết yếu) / absorb nutrients (hấp thụ chất dinh dưỡng)","'/nutrients/","Chất dinh dưỡng","nourishment, sustenance, vitamins, minerals","toxins, poisons, anti-nutrients","Vegetables are packed with the nutrients your body needs. (Rau quả chứa đầy các chất dinh dưỡng mà cơ thể bạn cần.)"
Nutrition,"poor nutrition (dinh dưỡng kém) / study nutrition (nghiên cứu dinh dưỡng)","/nu'trıfən/","Dinh dưỡng","nourishment, diet, sustenance, food intake","malnutrition, starvation, undernourishment","Proper nutrition is the foundation of a strong immune system. (Dinh dưỡng hợp lý là nền tảng của một hệ thống miễn dịch mạnh mẽ.)"
Nutritional supplements,"take nutritional supplements (uống thực phẩm bổ sung dinh dưỡng) / rely on nutritional supplements (dựa vào thực phẩm bổ sung dinh dưỡng)","/nju trışənəl sapləmənts/","Thực phẩm bổ sung dinh dưỡng","dietary supplements, vitamins, health boosters","","Many athletes use nutritional supplements to enhance their performance. (Nhiều vận động viên sử dụng thực phẩm bổ sung dinh dưỡng để nâng cao hiệu suất của họ.)"
Obesity,"childhood obesity (béo phì ở trẻ em) / tackle obesity (giải quyết bệnh béo phì)","/ bisiti/","Béo phì","fatness, corpulence, overweight, heaviness","thinness, emaciation, skinniness, leanness","A sedentary lifestyle and fast food contribute heavily to obesity. (Lối sống ít vận động và thức ăn nhanh góp phần lớn gây ra bệnh béo phì.)"
Occupational therapy,"undergo occupational therapy (trải qua trị liệu nghề nghiệp) / occupational therapy session (buổi trị liệu nghề nghiệp)","/akjə'perſənəl 'Berǝpi/","Trị liệu nghề nghiệp","rehabilitation, therapeutic practice, physical recovery","","After the stroke, he needed occupational therapy to relearn basic skills. (Sau cơn đột quỵ, ông ấy cần trị liệu nghề nghiệp để học lại các kỹ năng cơ bản.)"
Pain reliever,"take a pain reliever (uống thuốc giảm đau) / effective pain reliever (thuốc giảm đau hiệu quả)","/peın rı'li:vər/","Thuốc giảm đau","painkiller, analgesic, aspirin, soothing drug","irritant, pain inducer","Ibuprofen is a common over-the-counter pain reliever. (Ibuprofen là một loại thuốc giảm đau không kê đơn phổ biến.)"
Pharmacy,"local pharmacy (nhà thuốc địa phương) / pick up medicine at the pharmacy (lấy thuốc ở nhà thuốc)","/'fa:rməsi/","Nhà thuốc","drugstore, apothecary, dispensary, chemist's","","She went to the pharmacy to pick up her grandmother's prescription. (Cô ấy đã đến nhà thuốc để lấy thuốc theo đơn của bà mình.)"
