Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Attract millions of tourists,the museum attracts millions of tourists annually (bảo tàng thu hút hàng triệu khách du lịch hàng năm),/əˈtrækt ˈmɪljənz əv ˈtʊrɪsts/,Thu hút hàng triệu khách du lịch,draw massive crowds of visitors,deter tourists,"The pyramids in Egypt attract millions of tourists every year. (Kim tự tháp ở Ai Cập thu hút hàng triệu du khách mỗi năm.)"
Boost economy,tourism can boost economy (du lịch có thể thúc đẩy kinh tế),/buːst ɪˈkɑːnəmi/,Thúc đẩy kinh tế,stimulate economic growth / enhance the economy,damage the economy,"The new flight routes will definitely boost the local economy. (Các đường bay mới chắc chắn sẽ thúc đẩy nền kinh tế địa phương.)"
See spectacular landscapes, wildlife and plants,safari tours allow you to see spectacular landscapes (tour safari cho phép bạn chiêm ngưỡng những khung cảnh tuyệt vời),/siː spɛkˈtækjələr ˈlændˌskeɪps/,Chiêm ngưỡng những khung cảnh tuyệt vời (động thực vật hoang dã),view breathtaking scenery and nature,stay indoors,"Visitors to New Zealand can see spectacular landscapes, wildlife and plants. (Du khách đến New Zealand có thể chiêm ngưỡng những cảnh quan, động vật và thực vật ngoạn mục.)"
Bring a wide range of benefits,tourism brings a wide range of benefits (du lịch mang tới rất nhiều lợi ích),/brɪŋ ə waɪd reɪndʒ əv ˈbɛnəfɪts/,Mang tới rất nhiều lợi ích,offer numerous advantages,cause many problems,"Developing ecotourism can bring a wide range of benefits to rural areas. (Phát triển du lịch sinh thái có thể mang lại nhiều lợi ích cho các vùng nông thôn.)"
Cause damage to...,littering will cause damage to the environment (việc xả rác sẽ gây tổn thất cho môi trường),/kɔːz ˈdæmɪdʒ tuː/,Gây tổn thất cho...,harm / bring destruction to,protect / fix,"Careless tourists can cause damage to historical monuments. (Những du khách bất cẩn có thể gây hư hại cho các di tích lịch sử.)"
Tourist / traveler / visitor,foreign tourist (du khách nước ngoài),/ˈtʊrɪst / ˈtrævələr / ˈvɪzɪtər/,Du khách,sightseer / holidaymaker / guest,local / resident,"The local government issued a safety guide for every tourist and traveler. (Chính quyền địa phương đã phát hành một hướng dẫn an toàn cho mọi du khách.)"
Traditional jobs and skills,preserve traditional jobs and skills (bảo tồn những kỹ năng và công việc truyền thống),/trəˈdɪʃənəl dʒɑːbz ənd skɪlz/,Những kỹ năng và công việc truyền thống,heritage occupations and crafts,modern professions,"Handicraft villages help keep traditional jobs and skills alive. (Các làng thủ công mỹ nghệ giúp giữ cho các công việc và kỹ năng truyền thống tồn tại.)"
Disappear / die out,local dialects may disappear (tiếng địa phương có thể biến mất),/ˌdɪsəˈpɪr / daɪ aʊt/,Biến mất / tuyệt chủng,vanish / become extinct,flourish / thrive,"If we don't protect them, these ancient customs will eventually die out. (Nếu chúng ta không bảo vệ, những phong tục cổ xưa này cuối cùng sẽ lụi tàn.)"
Adopt a new culture,immigrants adopt a new culture (người nhập cư theo một nền văn hóa mới),/əˈdɑːpt ə nuː ˈkʌltʃər/,Theo một nền văn hóa mới,embrace foreign customs,stick to old traditions,"When working abroad, you might need to adopt a new culture. (Khi làm việc ở nước ngoài, bạn có thể cần phải tiếp nhận một nền văn hóa mới.)"
Culture shock,experience culture shock (trải qua sốc văn hóa),/ˈkʌltʃər ʃɑːk/,Sốc văn hóa,cultural disorientation,,"Many travelers experience culture shock when visiting a completely different country. (Nhiều du khách bị sốc văn hóa khi đến thăm một quốc gia hoàn toàn khác biệt.)"
Put heavy pressure on the environment,mass tourism puts heavy pressure on the environment (du lịch ồ ạt đặt áp lực nặng nề lên môi trường),/pʊt ˈhɛvi ˈprɛʃər ɑːn ði ɪnˈvaɪrənmənt/,Đặt áp lực nặng nề lên môi trường,burden the ecosystem / cause severe ecological strain,relieve environmental stress,"Building massive resorts puts heavy pressure on the local environment. (Việc xây dựng các khu nghỉ dưỡng khổng lồ tạo áp lực nặng nề lên môi trường địa phương.)"

