Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Lead a sedentary lifestyle,modern gadgets make people lead a sedentary lifestyle (thiết bị hiện đại khiến người ta sống thụ động),/liːd ə ˈsɛdənˌtɛri ˈlaɪfˌstaɪl/,Sống một lối sống thụ động,live an inactive life / sit around all day,lead an active lifestyle,"Leading a sedentary lifestyle increases the risk of obesity. (Sống một lối sống ít vận động làm tăng nguy cơ béo phì.)"
Take part in interactive activities,take part in interactive activities at school (tham gia các hoạt động tương tác ở trường),/teɪk pɑːrt ɪn ˌɪntərˈæktɪv ækˈtɪvətiz/,Tham gia các hoạt động mang tính tương tác,join engaging tasks / participate in two-way activities,sit passively,"Students learn better when they take part in interactive activities. (Học sinh học tốt hơn khi tham gia vào các hoạt động tương tác.)"
Experience feelings of loneliness and isolation,elderly people often experience feelings of loneliness and isolation (người già thường trải qua cảm giác cô đơn và cô lập),/ɪkˈspɪriəns ˈfiːlɪŋz əv ˈloʊnlinəs ənd ˌaɪsəˈleɪʃən/,Trải qua cảm giác cô đơn và cô lập,feel alone and detached / suffer from social exclusion,feel connected and supported,"Children glued to screens may experience feelings of loneliness and isolation. (Trẻ em dán mắt vào màn hình có thể trải qua cảm giác cô đơn và bị cô lập.)"
Devote a huge amount of time to work,ambitious people devote a huge amount of time to work (người tham vọng dành phần lớn thời gian cho công việc),/dɪˈvoʊt ə hjuːdʒ əˈmaʊnt əv taɪm tuː wɜːrk/,Dành phần lớn thời gian cho công việc,spend excessive time working / be a workaholic,balance work and life,"Many fathers devote a huge amount of time to work to support the family. (Nhiều người cha dành một lượng lớn thời gian cho công việc để hỗ trợ gia đình.)"
Hardly make time for their family,workaholics hardly make time for their family (người nghiện việc hầu như không dành thời gian cho gia đình),/ˈhɑːrdli meɪk taɪm fɔːr ðɛr ˈfæməli/,Hầu như không dành thời gian cho gia đình họ,rarely spend time with relatives / neglect family time,prioritize family time,"Due to busy schedules, parents hardly make time for their family. (Do lịch trình bận rộn, cha mẹ hầu như không thể dành thời gian cho gia đình.)"
Take more family trips,families should take more family trips (các gia đình nên tổ chức nhiều chuyến đi cùng nhau hơn),/teɪk mɔːr ˈfæməli trɪps/,Tổ chức nhiều chuyến đi cùng gia đình hơn,go on more family vacations / travel with family frequently,stay at home constantly,"To bond better, we plan to take more family trips this year. (Để gắn kết hơn, chúng tôi dự định sẽ đi du lịch gia đình nhiều hơn trong năm nay.)"
Take on the role of,take on the role of a leader (đóng vai trò là người lãnh đạo),/teɪk ɑːn ðə roʊl əv/,Đóng vai trò là...,assume the position of / act as,step down from,"Older siblings often take on the role of caregivers for younger ones. (Anh chị lớn thường đảm nhận vai trò người chăm sóc cho các em nhỏ.)"
Take care of... / look after...,take care of elderly parents (chăm sóc cha mẹ già),/teɪk kɛr əv / lʊk ˈæftər/,Chăm sóc...,care for / tend to,neglect / abandon,"It is our duty to take care of our aging parents. (Nhiệm vụ của chúng ta là chăm sóc cha mẹ khi họ già yếu.)"
Negatively affect children's long-term mental health,divorce can negatively affect children's long-term mental health (ly hôn có thể ảnh hưởng tiêu cực tới sức khỏe tâm lý lâu dài của trẻ),/ˈnɛɡətɪvli əˈfɛkt ˈtʃɪldrənz lɔːŋ-tɜːrm ˈmɛntəl hɛlθ/,Ảnh hưởng tiêu cực tới sức khỏe tâm lý lâu dài của trẻ,harm kids' psychological well-being / damage a child's future mental state,nurture a child's mental well-being,"Constant arguing at home can negatively affect children's long-term mental health. (Việc cãi vã liên tục ở nhà có thể ảnh hưởng tiêu cực đến sức khỏe tinh thần lâu dài của trẻ.)"
Put children at a higher risk of...,junk food will put children at a higher risk of obesity (đồ ăn vặt sẽ đặt trẻ vào rủi ro cao bị béo phì),/pʊt ˈtʃɪldrən æt ə ˈhaɪər rɪsk əv/,Đặt trẻ vào rủi ro cao bị ....,make kids more susceptible to / increase children's vulnerability to,protect children from,"A lack of exercise can put children at a higher risk of health problems. (Thiếu tập thể dục có thể khiến trẻ em có nguy cơ cao mắc các vấn đề sức khỏe.)"
Strengthen/weaken family relationships / family bonds,activities that strengthen family relationships (hoạt động củng cố tình cảm gia đình),/ˈstrɛŋθən / ˈwiːkən ˈfæməli rɪˈleɪʃənʃɪps/,Củng cố/làm suy yếu tình cảm gia đình,build/damage family ties / foster/break familial connections,,"Eating dinner together can really strengthen family relationships. (Ăn tối cùng nhau thực sự có thể thắt chặt các mối quan hệ gia đình.)"
Experience significant changes in mood, feelings and behaviour,teenagers experience significant changes in mood, feelings and behaviour (tuổi teen trả qua những sự thay đổi đáng kể trong tâm trạng và cách ứng xử),/ɪkˈspɪriəns sɪɡˈnɪfɪkənt ˈtʃeɪndʒɪz ɪn muːd/,Trả qua những sự thay đổi đáng kể trong tâm trạng và cách ứng xử,go through major emotional and behavioral shifts,remain emotionally stable,"During puberty, adolescents experience significant changes in mood, feelings and behaviour. (Trong độ tuổi dậy thì, thanh thiếu niên trải qua những thay đổi đáng kể về tâm trạng, cảm xúc và hành vi.)"
Have children later in life / delay parenthood,career women often have children later in life (phụ nữ có sự nghiệp thường có con muộn),/hæv ˈtʃɪldrən ˈleɪtər ɪn laɪf/,Có con muộn,postpone having kids / put off starting a family,start a family early / become young parents,"Many modern couples choose to delay parenthood to focus on their careers. (Nhiều cặp vợ chồng hiện đại chọn cách trì hoãn việc làm cha mẹ để tập trung vào sự nghiệp.)"
Become positive role model,parents should become positive role models (cha mẹ nên trở thành hình mẫu tốt),/bɪˈkʌm ˈpɑːzətɪv roʊl ˈmɑːdəlz/,Trở thành hình mẫu tốt,set a good example / be a good influence,be a bad influence,"Teachers and parents must become positive role models for the younger generation. (Giáo viên và phụ huynh phải trở thành những hình mẫu tích cực cho thế hệ trẻ.)"
A lack of parental support,children suffer from a lack of parental support (trẻ em chịu đựng việc thiếu sự hỗ trợ từ cha mẹ),/ə læk əv pəˈrɛntəl səˈpɔːrt/,Việc thiếu sự hỗ trợ từ cha mẹ,absence of parental guidance / no family backing,strong parental involvement,"A lack of parental support can lead to poor academic performance. (Thiếu sự hỗ trợ từ cha mẹ có thể dẫn đến kết quả học tập kém.)"

